"Projet.Code_Decision_ANR";"Action.Edition";"Projet.Acronyme";"Projet.Partenaire.Code_Decision_ANR";"Projet.Partenaire.Est_coordinateur";"Projet.Partenaire.Nom_organisme";"Projet.Partenaire.Categorie_organisme";"Projet.Partenaire.Responsable_scientifique.Nom";"Projet.Partenaire.Responsable_scientifique.Prenom";"Projet.Partenaire.Adresse.Ville";"Projet.Partenaire.Adresse.Region";"Projet.Partenaire.Adresse.Pays"
"ANR-21-PMRB-0012";2021;"France Cohortes";"ANR-21-PMRB-0012-01";True;"INSERM Délégation Régionale Paris 11";"Organismes de type EPST";"REY";"Grégoire";"Le Kremlin Bicêtre";"Île-de-France";"France"
"ANR-21-PMRB-0011";2021;"TransEAsome";"ANR-21-PMRB-0011-01";True;"Non renseigné";"Non renseigné";"";"";"Non renseigné";"Non renseigné";"France"
"ANR-21-PMRB-0010";2021;"RASORES";"ANR-21-PMRB-0010-01";True;"AP-HP";"Organismes Médicaux (Hôpitaux)";"VERLOES";"Alain";"Paris";"Île-de-France";"France"
"ANR-21-PMRB-0009";2021;"RaReTiA";"ANR-21-PMRB-0009-01";True;"Non renseigné";"Non renseigné";"";"";"Non renseigné";"Non renseigné";"France"
"ANR-21-PMRB-0008";2021;"PROGRESS FSHD";"ANR-21-PMRB-0008-01";True;"CHU de Nice";"Organismes Médicaux (Hôpitaux)";"";"";"Nice";"Provence-Alpes-Côte d'Azur";"France"
"ANR-21-PMRB-0007";2021;"PAMPERO";"ANR-21-PMRB-0007-01";True;"Hospices Civils de Lyon";"Organismes Médicaux (Hôpitaux)";"";"";"Lyon";"Auvergne-Rhône-Alpes";"France"
"ANR-21-PMRB-0006";2021;"MITOMICS";"ANR-21-PMRB-0006-01";True;"Université d'Angers";"Universités, INSA et INP";"";"";"Angers Cedex";"Pays de la Loire";"France"
"ANR-21-PMRB-0005";2021;"FG.COALS";"ANR-21-PMRB-0005-01";True;"CHU de Limoges";"Organismes Médicaux (Hôpitaux)";"";"";"Limoges Cedex 1";"Nouvelle Aquitaine";"France"
"ANR-21-PMRB-0004";2021;"FACES 4 Kids";"ANR-21-PMRB-0004-01";True;"Non renseigné";"Non renseigné";"";"";"Non renseigné";"Non renseigné";"France"
"ANR-21-PMRB-0003";2021;"ECYSCO";"ANR-21-PMRB-0003-01";True;"Non renseigné";"Non renseigné";"";"";"Non renseigné";"Non renseigné";"France"
"ANR-21-PMRB-0002";2021;"CDE.AI";"ANR-21-PMRB-0002-01";True;"AP-HP";"Organismes Médicaux (Hôpitaux)";"ASSIE";"Guillaume";"Paris";"Île-de-France";"France"
"ANR-21-PMRB-0001";2021;"BANCCO+";"ANR-21-PMRB-0001-01";True;"Hospices Civils de Lyon";"Organismes Médicaux (Hôpitaux)";"";"";"Lyon";"Auvergne-Rhône-Alpes";"France"
"ANR-21-NUWA-0001";2021;"Nuward";"ANR-21-NUWA-0001-01";True;"Groupe EDF";"Entreprises Privées";"";"";"Paris Cedex 8";"Île-de-France";"France"
"ANR-21-IDES-0006";2021;"WILL";"ANR-21-IDES-0006-01";True;"Université de Lille";"Universités, INSA et INP";"SEYS";"François-Olivier";"Lille";"Hauts de France";"France"
"ANR-21-IDES-0005";2021;"UM2030";"ANR-21-IDES-0005-01";True;"Université de Montpellier";"Universités, INSA et INP";"PIERROT";"François";"Montpellier";"Occitanie";"France"
"ANR-21-IDES-0005";2021;"UM2030";"ANR-21-IDES-0005-10";False;"CHU de Montpellier";"Organismes Médicaux (Hôpitaux)";"PIERROT";"François";"Montpellier";"Occitanie";"France"
"ANR-21-IDES-0005";2021;"UM2030";"ANR-21-IDES-0005-09";False;"IRD Montpellier";"Organismes de type EPST";"PIERROT";"François";"Montpellier";"Occitanie";"France"
"ANR-21-IDES-0005";2021;"UM2030";"ANR-21-IDES-0005-08";False;"INSERM Délégation Occitanie Méditerranée";"Organismes de type EPST";"PIERROT";"François";"Montpellier";"Occitanie";"France"
"ANR-21-IDES-0005";2021;"UM2030";"ANR-21-IDES-0005-07";False;"INRIA siège";"Organismes de type EPST";"PIERROT";"François";"Le Chesnay CEDEX";"Île-de-France";"France"
"ANR-21-IDES-0005";2021;"UM2030";"ANR-21-IDES-0005-06";False;"INRAE Centre Occitanie - Montpellier";"Organismes de type EPST";"PIERROT";"François";"Montpellier Cedex 01";"Occitanie";"France"
"ANR-21-IDES-0005";2021;"UM2030";"ANR-21-IDES-0005-05";False;"CNRS délégation Occitanie Est";"Organismes de type EPST";"PIERROT";"François";"Montpellier Cedex";"Occitanie";"France"
"ANR-21-IDES-0005";2021;"UM2030";"ANR-21-IDES-0005-04";False;"CIRAD - Montpellier";"Organismes de Type EPIC";"PIERROT";"François";"Montpellier";"Occitanie";"France"
"ANR-21-IDES-0005";2021;"UM2030";"ANR-21-IDES-0005-03";False;"Institut national d'enseignement supérieur pour l'agriculture, l'alimentation et l'environnement";"Autres établissements (publics)";"PIERROT";"François";"Paris";"Île-de-France";"France"
"ANR-21-IDES-0005";2021;"UM2030";"ANR-21-IDES-0005-02";False;"Ecole Nationale Supérieure de Chimie de Montpellier";"Grandes écoles publiques";"PIERROT";"François";"Montpellier";"Occitanie";"France"
"ANR-21-IDES-0005";2021;"UM2030";"ANR-21-IDES-0005-11";False;"Centre International des Hautes Etudes Agronomiques Méditerranéennes";"ENS et grands établissements";"PIERROT";"François";"Montpellier";"Occitanie";"France"
"ANR-21-IDES-0004";2021;"R2D2";"ANR-21-IDES-0004-02";False;"INRIA Sophia Antipolis (Valbonne)";"Organismes de type EPST";"BRISSWALTER";"Jeanick";"Sophia Antipolis";"Provence-Alpes-Côte d'Azur";"France"
"ANR-21-IDES-0004";2021;"R2D2";"ANR-21-IDES-0004-01";True;"Université Côte d'Azur";"Universités, INSA et INP";"BRISSWALTER";"Jeanick";"Nice cedex 2";"Provence-Alpes-Côte d'Azur";"France"
"ANR-21-IDES-0004";2021;"R2D2";"ANR-21-IDES-0004-04";False;"Fondation Université Côte d'Azur";"Fondations";"BRISSWALTER";"Jeanick";"Nice";"Provence-Alpes-Côte d'Azur";"France"
"ANR-21-IDES-0004";2021;"R2D2";"ANR-21-IDES-0004-03";False;"CNRS Côte d'Azur (Valbonne)";"Organismes de type EPST";"BRISSWALTER";"Jeanick";"Valbonne";"Provence-Alpes-Côte d'Azur";"France"
"ANR-21-IDES-0003";2021;"OPUS";"ANR-21-IDES-0003-03";False;"INSERM Délégation Est";"Organismes de type EPST";"DE MATHELIN";"Michel";"Strasbourg Cedex 2";"Grand Est";"France"
"ANR-21-IDES-0003";2021;"OPUS";"ANR-21-IDES-0003-02";False;"CNRS Alsace (Strasbourg)";"Organismes de type EPST";"DE MATHELIN";"Michel";"Strasbourg";"Grand Est";"France"
"ANR-21-IDES-0003";2021;"OPUS";"ANR-21-IDES-0003-01";True;"Université de Strasbourg";"Universités, INSA et INP";"DE MATHELIN";"Michel";"Strasbourg Cedex";"Grand Est";"France"
"ANR-21-IDES-0002";2021;"CAP A.R.T.";"ANR-21-IDES-0002-01";True;"Université Clermont Auvergne";"Universités, INSA et INP";"SCHIANO";"Pierre";"CLERMONT FERRAND";"Auvergne-Rhône-Alpes";"France"
"ANR-21-IDES-0001";2021;"AMI UGE";"ANR-21-IDES-0001-01";True;"Université Gustave Eiffel";"Universités, INSA et INP";"";"";"Champs-sur-Marne";"Île-de-France";"France"
"ANR-21-FTAP-0002";2021;"FlexiSanté";"ANR-21-FTAP-0002-08";False;"Université de Rouen";"Universités, INSA et INP";"PALOMBI";"Olivier";"Mont Saint Aignan";"Normandie";"France"
"ANR-21-FTAP-0002";2021;"FlexiSanté";"ANR-21-FTAP-0002-07";False;"Université Clermont Auvergne";"Universités, INSA et INP";"PALOMBI";"Olivier";"CLERMONT FERRAND";"Auvergne-Rhône-Alpes";"France"
"ANR-21-FTAP-0002";2021;"FlexiSanté";"ANR-21-FTAP-0002-05";False;"Université d'Angers";"Universités, INSA et INP";"PALOMBI";"Olivier";"Angers Cedex";"Pays de la Loire";"France"
"ANR-21-FTAP-0002";2021;"FlexiSanté";"ANR-21-FTAP-0002-09";False;"Université Côte d'Azur";"Universités, INSA et INP";"PALOMBI";"Olivier";"Nice cedex 2";"Provence-Alpes-Côte d'Azur";"France"
"ANR-21-FTAP-0002";2021;"FlexiSanté";"ANR-21-FTAP-0002-06";False;"Université de Franche Comté";"Universités, INSA et INP";"PALOMBI";"Olivier";"Besancon";"Bourgogne-Franche-Comté";"France"
"ANR-21-FTAP-0002";2021;"FlexiSanté";"ANR-21-FTAP-0002-11";False;"Université de Saint-Etienne (Jean Monnet)";"Universités, INSA et INP";"PALOMBI";"Olivier";"Saint-Etienne";"Auvergne-Rhône-Alpes";"France"
"ANR-21-FTAP-0002";2021;"FlexiSanté";"ANR-21-FTAP-0002-04";False;"Université de Picardie Jules-Verne Amiens";"Universités, INSA et INP";"PALOMBI";"Olivier";"Amiens";"Hauts de France";"France"
"ANR-21-FTAP-0002";2021;"FlexiSanté";"ANR-21-FTAP-0002-03";False;"Université Paris Cité";"Universités, INSA et INP";"PALOMBI";"Olivier";"Paris";"Île-de-France";"France"
"ANR-21-FTAP-0002";2021;"FlexiSanté";"ANR-21-FTAP-0002-02";False;"Université Numérique";"Associations";"PALOMBI";"Olivier";"Paris";"Île-de-France";"France"
"ANR-21-FTAP-0002";2021;"FlexiSanté";"ANR-21-FTAP-0002-01";True;"Université Numérique en Santé et Sport.fr";"EPA, GIP, organismes avec autre statut";"PALOMBI";"Olivier";"Villeneuve d'Ascq";"Hauts de France";"France"
"ANR-21-FTAP-0002";2021;"FlexiSanté";"ANR-21-FTAP-0002-10";False;"Université de Reims Champagne-Ardenne";"Universités, INSA et INP";"PALOMBI";"Olivier";"Reims Cedex";"Grand Est";"France"
"ANR-21-FTAP-0002";2021;"FlexiSanté";"ANR-21-FTAP-0002-17";False;"Université de Tours";"Universités, INSA et INP";"PALOMBI";"Olivier";"Tours Cedex 1";"Centre-Val de Loire";"France"
