Sujeto de Apoyo,Nombre del Proyecto,Sector,Monto Autorizado (pesos)
INSTITUTO POLITECNICO NACIONAL,PROGRAM FOR THE ADVANCEMENT OF LIQUID LITHIUM ENERGY TECHNOLOGY (PALLET),SERVICIOS EDUCATIVOS,343600.00
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO / COORDINACION DE INVESTIGACION CIENTIFICA / FACULTAD DE QUÍMICA,"ENERGY EFFICIENCY, SUSTAINABLE DEVELOPMENT AND NATURAL RESOURCES CONSERVATION: MULTICRITERIA LIFE CYCLE ANALYSIS OF DAILY USE MATERIALS WITH LONG TERM VISION",SERVICIOS EDUCATIVOS,272000.00
SISTEMAS Y TELECOMUNICACIONES DIGITALES S.A. DE C.V.,PLATAFORMA CLOUD DE SALUD MULTIDISPOSITIVO,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,5063500.00
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO / COORDINACION DE INVESTIGACION CIENTIFICA / INSTITUTO DE ECOLOGÍA,DEVELOPMENT OF A NATIONAL ACOUSTIC BAT MONITORING PROTOCOL FOR MÉXICO,SERVICIOS EDUCATIVOS,507200.00
ACUACULTURA MAHR S.A. DE C.V.,PROGRAMA DE INNOVACION TECNOLOGICA MEXICO-FRANCIA PARA EL MEJORAMIENTO GENETICO DEL CAMARON DE CULTIVO LITOPENAEUS VANNAMEI LIBRE DE PATOGENOS ESPECIFICOS,AGRICULTURA GANADERIA APROVECHAMIENTO FORESTAL PESCA Y CAZA,12414006.00
UNIVERSIDAD AUTONOMA DE SAN LUIS POTOSI,"MÁRMOLES Y TOBAS UTILIZADAS COMO ROCAS NATURALES DE CONSTRUCCIÓN EN EDIFICIOS HISTORICOS DE CIUDADES COLONIALES DEL CENTRO DE MÉXICO (DISTRITO FEDERAL, GUADALAJARA, MORELIA, GUANAJUATO, QUERÉTARO Y SAN LUIS POTOSÍ)",SERVICIOS EDUCATIVOS,452000.00
"DESARROLLO, INTEGRACIÓN Y ESTRATEGIAS EN SOFTWARE, S.A. DE C.V.","CONVOCATORIA CONJUNTA CDTI-CONACYT 2012, UTILIDADES AVANZADAS Y PROCESOS DE SISTEMAS DE INFORMACIÓN TERRITORIAL",SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,7884684.04
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO / COORDINACION DE INVESTIGACION CIENTIFICA / INSTITUTO DE CIENCIAS NUCLEARES,"COSMOLOGÍA, TEORÍA CUÁNTICA Y EL FONDO CÓSMICO DE RADIACIÓN",SERVICIOS EDUCATIVOS,129600.00
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO / COORDINACION DE INVESTIGACION CIENTIFICA / CENTRO DE CIENCIAS DE LA ATMÓSFERA,ESTUDIO DEL TRANSPORTE ATMOSFÉRICO DE CONTAMINANTES ORGANICOS PERSISTENTES Y PESTICIDAS DE USO ACTUAL (PUA) EN FASE GASEOSA Y PARTICULADA,SERVICIOS EDUCATIVOS,49000.00
INSTITUTO POLITECNICO NACIONAL,"RELACIÓN PROCESO-ESTRUCTURA-FUNCIÓN DE BIOPOLÍMEROS PROVENIENTES DE GRANOS DE INTERÉS ALIMENTARIO: TRIGO, MAÍZ, CHIA.",SERVICIOS EDUCATIVOS,78000.00
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO / COORDINACION DE INVESTIGACION CIENTIFICA / INSTITUTO DE QUÍMICA,SÍNTESIS Y ESTUDIO TÉRMICO Y FOTOQUÍMICO DE NUEVAS LACTONAS POLICÍCLICAS DERIVADAS DE PIRIDINAS Y DE SALES DE PIRIDONIO,SERVICIOS EDUCATIVOS,123600.00
"INNOVARE R&D, S.A. DE.C.V.","OPTIMIZACIÓN EN LA BIODISPONIBILIDAD DEL PÉPTIDO INHIBIDOR DE FUSIÓN, ENFUVIRTIDA (T20) POR REFORMULACIÓN EN UN SISTEMA DEPOT DE LIBERACIÓN PROLONGADA","INDUSTRIA MANUFACTURERA DE MADERA, PAPEL, DERIVADOS DEL PETROLEO E INDUSTRIA QUIMICA",11515158.00
CENTRO DE INVESTIGACION Y ASISTENCIA EN TECNOLOGIA Y DISEÑO DEL ESTADO DE JALISCO AC,"CITOGENÉTICA MOLECULAR, BANDEO CROMOSÓMICO E IDENTIFICACIÓN DE PATRONES HETEROCROMATICOS EN PLANTAS BULBOSAS DE ARGENTINA Y MEXICO.",SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,152600.00
